# Isobaric-Isothermal VLE data for water-ammonia ,,,,,,,,
# Component 1: water
# Component 2: ammonia
# Source: Vapor-Liquid Equilibrium Data For The NH3-H2O System And Its Vapor-Liquid Equilibrium Data For The NH3-H2O System And Its Description With A Modified Cubic Equation Of State, Smolen, Manley and Poling, 1991
T (degC),P (atm),x_water,y_water,z_water,P (psia)
20,0.063,0.9518,0.351,0.9517,0.920
20,0.064,0.9518,0.351,0.9517,0.922
20,0.066,0.9479,0.329,0.9478,0.952
20,0.067,0.9479,0.329,0.9478,0.968
20,0.085,0.9284,0.246,0.9283,1.236
20,0.116,0.9030,0.174,0.9028,1.686
20,0.125,0.8958,0.159,0.8956,1.813
20,0.190,0.8508,0.0941,0.8506,2.754
20,0.194,0.8508,0.0941,0.8506,2.814
20,0.193,0.8503,0.0936,0.8500,2.796
20,0.195,0.8503,0.0936,0.8500,2.824
20,0.211,0.8399,0.0834,0.8396,3.064
20,0.215,0.8399,0.0834,0.8396,3.116
20,0.294,0.8004,0.0548,0.8001,4.257
20,0.295,0.8004,0.0548,0.8001,4.276
20,0.305,0.7979,0.0534,0.7976,4.420
20,0.305,0.7979,0.0534,0.7975,4.418
20,0.314,0.7979,0.0534,0.7975,4.551
20,0.469,0.7456,0.0313,0.7455,6.805
20,0.469,0.7456,0.0313,0.7455,6.806
20,0.667,0.6992,0.0198,0.6990,9.674
20,0.679,0.6981,0.0196,0.6980,9.855
20,0.678,0.6981,0.0196,0.6980,9.838
20,1.337177512,0.6019,0.0078,0.6014,19.394
20,1.337315408,0.6019,0.0078,0.6014,19.396
20,1.419846164,0.5933,0.0072,0.5927,20.593
20,1.419708268,0.5933,0.0072,0.5927,20.591
20,1.409503964,0.5922,0.0071,0.5916,20.443
20,1.408745536,0.5922,0.0071,0.5916,20.432
20,2.494,0.4995,0.0030,0.4985,36.170
20,2.487781736,0.4995,0.0030,0.4985,36.082
20,2.50936246,0.4985,0.0030,0.4973,36.395
20,2.500123428,0.4985,0.0030,0.4973,36.261
20,5.344,0.3016,0.0006,0.2992,77.510
20,5.344297376,0.3016,0.0006,0.2992,77.512
20,5.366153892,0.2999,0.0006,0.2972,77.829
20,5.376496092,0.2999,0.0006,0.2972,77.979
20,6.629901784,0.2088,0.0003,0.2074,96.158
20,6.629,0.2088,0.0003,0.2074,96.150
20,6.620938544,0.2089,0.0003,0.2074,96.028
20,6.621628024,0.2089,0.0003,0.2074,96.038
20,7.537188516,0.1083,0.0001,0.1071,109.317
20,7.535464816,0.1083,0.0001,0.1071,109.292
20,7.612962368,0.1006,0.0001,0.0996,110.416
20,7.611238668,0.1006,0.0001,0.0996,110.391
20,7.619305584,0.1000,0.0001,0.0990,110.508
20,7.612824472,0.1000,0.0001,0.0990,110.414
20,7.99589956,0.0588,0.0000,0.0582,115.97
20,7.998588532,0.0588,0.0000,0.0582,116.009
20,8.098494184,0.0506,0.0000,0.0499,117.458
20,8.101941584,0.0466,0.0000,0.0464,117.508
20,8.096839432,0.0466,0.0000,0.0464,117.434
20,8.106354256,0.0466,0.0000,0.0461,117.572
20,8.106767944,0.0466,0.0000,0.0461,117.578
20,8.14172458,0.0457,0.0000,0.0451,118.085
20,8.164615316,0.0398,0.0000,0.0395,118.417
20,8.1513773,0.0398,0.0000,0.0395,118.225
50,0.268,0.9519,0.441,0.9517,3.881
50,0.268,0.9519,0.441,0.9517,3.885
50,0.279,0.9481,0.419,0.9478,4.051
50,0.279,0.9481,0.419,0.9478,4.044
50,0.346,0.9287,0.325,0.9283,5.020
50,0.447,0.9033,0.241,0.9028,6.486
50,0.449,0.9033,0.241,0.9028,6.506
50,0.479,0.8962,0.222,0.8956,6.951
50,0.481,0.8962,0.222,0.8956,6.979
50,0.703,0.8513,0.139,0.8506,10.192
50,0.703,0.8513,0.139,0.8506,10.199
50,0.707,0.8509,0.139,0.8500,10.247
50,0.708,0.8509,0.139,0.8500,10.275
50,0.772,0.8404,0.125,0.8396,11.199
